,Question,Sub_Question,location
0,I am satisfied with my overall experience at Columbia.,Response,0
1,I am satisfied with the following with respect to my overall experience at Columbia.,Academics,1
2,,Mental health,False
3,,Physical health,False
4,,Professional development,False
5,,Social life,False
6,,Career services,False
7,,Housing,False
8,,Intercampus Shuttle,False
9,,Library services,False
10,,Funding opportunities,False
11,,Student life and academic advising,False
12,,Technology services and support,False
13,The following are important with respect to my overall experience at Columbia.,Academics,13
14,,Mental health,False
15,,Physical health,False
16,,Professional development,False
17,,Social life,False
18,,Career services,False
19,,Housing,False
20,,Intercampus Shuttle,False
21,,Library services,False
22,,Funding opportunities,False
23,,Student life and academic advising,False
24,,Technology services and support,False
25,The following are important with respect to my overall satisfaction with SEAS classes and academics.,Instruction,25
26,,Course content,False
27,,Supplementary educational tools,False
28,,Degree requirements,False
29,Please answer the following with respect to SEAS classes and academics.,The overall teaching quality of the lecturer was satisfactory:,29
30,,Theory and practical application were well-balanced:,False
31,,The course load was manageable:,False
32,,The availability of courses to satisfy degree requirements was satisfactory:,False
33,,There was a wide selection of  elective courses available:,False
34,,My degree requirements allowed me to take enough elective courses to tailor my education:,False
35,,The online course descriptions were accurate:,False
36,,The department websites are informative and easy to use:,False
37,,The degree requirements were clearly communicated at the start of the program:,False
38,,My coursework provided adequate preparation for my desired career choice:,False
39,,There were frequent academic and professional seminars of high quality:,False
40,,The Teaching Assistants (TA) were well equipped to help students with the course content:,False
41,,The Teaching Assistants (TA) conducted themselves responsibly:,False
42,,The Course Assistants (CA) were well equipped to help students with the course content:,False
43,,The Course Assistants (CA) conducted themselves responsibly:,False
44,I find the following features of Canvas convenient.,Piazza,44
45,,Assignment submissions,False
46,,Course announcements,False
47,,Access to course material,False
48,,Chat,False
49,,Discussions,False
50,,Collaborations,False
51,,Mobile access (Canvas app),False
52,,Video Library,False
53,Please enter any additional comments regarding Canvas:,Open-Ended Response,53
54,I find the following features of SSOL convenient.,Course registration,54
55,,Waitlist,False
56,,Accounts and billing,False
57,,Transcript requests,False
58,,Academic certification requests,False
59,,Vergil course planning,False
60,,Degree Audit Report,False
61,,Deactivate a Lost or Stolen Columbia ID,False
62,,Student Schedule,False
63,,FlexAccount and Dining Dollars,False
64,Please enter any additional feedback you might have regarding SSOL:,Open-Ended Response,64
65,"If I had a schedule conflict for a course, I would consider taking an online course through Columbia Video Network (CVN). (This assumes the course fee/tuition would be the same as a regular on-campus course)",Response,65
66,Please indicate the number of full academic semesters you have been at Columbia as a graduate student:,Response,66
67,What is your current academic department or institute?,Response,67
68,Current Academic Program,Response,68
69,Did you attend the Professional Development and Leadership (PDL) Program?,Response,69
70,I am satisfied with the PDL Core Modules.,Response,70
71,I am satisfied with the PDL Elective Modules.,Response,71
72,Please share comments regarding the PDL Program.,Open-Ended Response,72
73,The level of mentorship and guidance provided by my advisor(s) is adequate:,Response,73
74,It would be helpful to have guidance by senior peers in the same degree program.,Response,74
75,I am satisfied with the following resources with respect to guidance in my degree program.,Ombuds Office,75
76,,Department administration,False
77,,"Office of Graduate Student Affairs (Associate Dean Tiffany Simon, Assistant Dean of Graduate Student Affairs Remi Moss, Assistant Dean of Graduate Student Services Kristy Barbacane, Associate Director Alvaro Rojas-Caamano)",False
78,,Departmental advisor,False
79,,International Students and Scholars Office (ISSO),False
80,,Professional Development and Leadership (PDL) Program,False
81,,Center for Teaching and Learning (CTL),False
82,,Counseling Psychological Services (CPS) Walk-In hours,False
83,The following skills have been improved/enhanced by my time at Columbia SEAS.,Presentation skills,83
84,,Speaking to a large audience,False
85,,Non-technical writing skills,False
86,,Technical writing skills,False
87,,Time management,False
88,,Proficiency and expertise in my field,False
89,,Working in a team,False
90,,Leadership skills,False
91,,Facilitating conversations and discussions,False
92,,Keeping up with latest advances in my field,False
93,Are you currently looking for a job or plan to look for one in the near future?,Response,93
94,The following resources have been useful in aiding my job search:,Alumni networking events,94
95,,Personal contacts,False
96,,Faculty,False
97,,Department administration/Career placement officer,False
98,,EGSC career related events,False
99,,Department-sponsored career events,False
100,The following resources provided by the Center for Career Education (CCE) have been useful in my job search and application process.,2018-19 Career Planning Guide,100
101,,CCE Website,False
102,,"CCE Career Fairs (Engineering Career Fair, Spring Career Fair)",False
103,,"CCE Employer Events (Industry showcases, Employer info sessions, Tech Connect)",False
104,,Career Workshops,False
105,,Mock Interviews,False
106,,Weekly Newsletters,False
107,,Individual Counseling Sessions,False
108,,LionSHARE,False
109,,Quick Questions or Walk-in hours,False
110,There is an adequate number of job listings available on Lionshare that are relevant to my field.,Response,110
111,Companies relevant to my field are well-represented at career fairs.,Response,111
112,Department specific recruiting sessions and/or mini career fairs would be more helpful to me than university wide career fairs.,Response,112
113,Please share any suggestions below for improving the career services (including career fairs) through the Center for Career Education:,Open-Ended Response,113
114,Have you secured a job offer or internship?,Response,114
115,Which of the following have you secured?,Summer 2019 Internship,115
116,,Full-time Employment,False
117,,Fall/Spring Internship,False
118,Where did you find out about this job opening?,Response,118
119,,Other (please specify),False
120,Which best describes the sector you will be working in?,Response,120
121,,Other (please specify),False
122,Which of the following best describes the firm you will be working in:,Response,122
123,,Other (please specify),False
124,"If you are graduating this semester, please check the option(s) that best represent your plan upon completing your degree program.",I intend to launching my own start-up,124
125,,I intend to take time off,False
126,,I intend to continue my studies/research,False
127,,I intend to work full-time,False
128,,I am undecided about post-graduation plans,False
129,Which of the following have you used to develop alumni contacts (check all that apply)?,I have not been actively developing alumni contacts,129
130,,"Alumni Associations (CEAA, CEYA, CAA)",False
131,,Events organized by the Alumni Affairs Office,False
132,,Events organized by EGSC or Office of Graduate Student Affairs,False
133,,Faculty,False
134,,Graduate Engineer's Connect,False
135,,Department administration,False
136,,Friends,False
137,,"Events organized by student groups (CEEC, CFEC, DGE, DSISC, ELC, GEEC, GoBME, GradSWE, HinduYUVA, MEGA, PMC, qSTEM, SPICMACAY)",False
138,,Professional Development and Leadership (PDL) Program,False
139,,Other (please specify),False
140,I am likely to return to Columbia as an alum to take part in networking events.,Response,140
141,Why would you not likely attend networking events as an alum?,Response,141
142,,Other (please specify),False
