,Question,Sub_Question,location,counts
0,I am satisfied with my overall experience at Columbia.,Response,0,"{4: 719, 3: 214, 5: 184, 2: 120, 1: 34}"
1,I am satisfied with the following with respect to my overall experience at Columbia.,Academics,1,"{4: 673, 5: 306, 3: 158, 2: 106, 1: 28}"
2,,Mental health,False,"{4: 491, 3: 329, 5: 193, 2: 186, 1: 72}"
3,,Physical health,False,"{4: 520, 3: 331, 5: 209, 2: 158, 1: 53}"
4,,Professional development,False,"{4: 570, 3: 271, 5: 254, 2: 133, 1: 43}"
5,,Social life,False,"{4: 535, 3: 307, 5: 210, 2: 165, 1: 54}"
6,,Career Placement Team,False,"{4: 399, 3: 387, 2: 190, 5: 178, 1: 117}"
7,,Housing,False,"{3: 490, 4: 358, 2: 195, 5: 148, 1: 80}"
8,,Intercampus Shuttle/Via Service,False,"{3: 408, 4: 395, 5: 315, 2: 111, 1: 42}"
9,,Library services,False,"{4: 563, 5: 438, 3: 221, 2: 37, 1: 12}"
10,,Funding opportunities,False,"{3: 459, 4: 330, 2: 201, 1: 165, 5: 116}"
11,,Student life and academic advising,False,"{4: 536, 3: 289, 5: 199, 2: 176, 1: 71}"
12,,Technology services and support,False,"{4: 565, 3: 319, 5: 253, 2: 104, 1: 30}"
13,The following are important with respect to my overall experience at Columbia.,Academics,13,"{5: 829, 4: 386, 3: 46, 2: 6, 1: 4}"
14,,Mental health,False,"{5: 620, 4: 461, 3: 139, 2: 40, 1: 11}"
15,,Physical health,False,"{5: 539, 4: 524, 3: 158, 2: 36, 1: 14}"
16,,Professional development,False,"{5: 648, 4: 461, 3: 115, 2: 31, 1: 16}"
17,,Social life,False,"{4: 565, 5: 474, 3: 185, 2: 35, 1: 12}"
18,,Career Placement Team,False,"{5: 660, 4: 396, 3: 141, 2: 52, 1: 22}"
19,,Housing,False,"{5: 439, 4: 406, 3: 329, 2: 56, 1: 41}"
20,,Intercampus Shuttle/Via Service,False,"{5: 407, 4: 395, 3: 324, 2: 104, 1: 41}"
21,,Library services,False,"{4: 498, 5: 468, 3: 218, 2: 72, 1: 15}"
22,,Funding opportunities,False,"{5: 497, 4: 413, 3: 265, 2: 68, 1: 28}"
23,,Student life and academic advising,False,"{5: 595, 4: 519, 3: 125, 2: 24, 1: 8}"
24,,Technology services and support,False,"{4: 529, 5: 403, 3: 267, 2: 61, 1: 11}"
25,The following are important with respect to my overall satisfaction with SEAS classes and academics.,Instruction,25,"{5: 613, 4: 544, 3: 85, 2: 25, 1: 4}"
26,,Course content,False,"{5: 678, 4: 479, 3: 75, 2: 33, 1: 6}"
27,,Supplementary educational tools,False,"{4: 568, 5: 346, 3: 266, 2: 74, 1: 17}"
28,,Degree requirements,False,"{4: 608, 5: 387, 3: 199, 2: 55, 1: 22}"
29,,Course Delivery Method,False,"{4: 570, 5: 521, 3: 135, 2: 37, 1: 8}"
30,Please answer the following with respect to SEAS classes and academics.,The overall teaching quality of the lecturer was satisfactory:,30,"{4: 606, 5: 369, 3: 159, 2: 88, 1: 31, 'Not Applicable': 18}"
31,,Theory and practical application were well-balanced:,False,"{4: 573, 5: 301, 3: 204, 2: 120, 1: 41, 'Not Applicable': 32}"
32,,The course load was manageable:,False,"{4: 544, 5: 252, 3: 229, 2: 162, 1: 57, 'Not Applicable': 27}"
33,,The availability of courses to satisfy degree requirements was satisfactory:,False,"{4: 466, 5: 283, 3: 196, 2: 194, 1: 107, 'Not Applicable': 25}"
34,,There was a wide selection of  elective courses available:,False,"{4: 396, 2: 266, 5: 261, 3: 217, 1: 105, 'Not Applicable': 26}"
35,,My degree requirements allowed me to take enough elective courses to tailor my education:,False,"{4: 467, 5: 339, 3: 186, 2: 165, 1: 80, 'Not Applicable': 34}"
36,,The online course descriptions were available and accurate:,False,"{4: 480, 5: 296, 3: 233, 2: 145, 1: 74, 'Not Applicable': 43}"
37,,The department websites are informative and easy to use:,False,"{4: 447, 5: 299, 3: 261, 2: 165, 1: 65, 'Not Applicable': 34}"
38,,The degree requirements were clearly communicated at the start of the program:,False,"{4: 538, 5: 479, 3: 124, 2: 57, 'Not Applicable': 39, 1: 34}"
39,,My coursework provided adequate preparation for my desired career choice:,False,"{4: 498, 5: 308, 3: 253, 2: 123, 'Not Applicable': 47, 1: 42}"
40,,There were frequent academic and professional seminars of high quality:,False,"{4: 478, 5: 345, 3: 250, 2: 100, 'Not Applicable': 59, 1: 39}"
41,,The Teaching Assistants (TA) were well equipped to help students with the course content:,False,"{4: 559, 5: 357, 3: 197, 2: 88, 'Not Applicable': 40, 1: 30}"
42,,The Teaching Assistants (TA) conducted themselves responsibly:,False,"{4: 557, 5: 448, 3: 155, 2: 49, 'Not Applicable': 45, 1: 17}"
43,,The Course Assistants (CA) were well equipped to help students with the course content:,False,"{4: 505, 5: 315, 3: 239, 'Not Applicable': 118, 2: 72, 1: 22}"
44,,The Course Assistants (CA) conducted themselves responsibly:,False,"{4: 533, 5: 384, 3: 170, 'Not Applicable': 125, 2: 42, 1: 17}"
45,I find the following features of Canvas convenient.,Assignment submissions,45,"{5: 655, 4: 501, 3: 64, 'Unaware of this Feature': 23, 2: 14, 1: 14}"
46,,Course announcements,False,"{5: 620, 4: 507, 3: 80, 2: 28, 'Unaware of this Feature': 21, 1: 15}"
47,,Access to course material,False,"{5: 689, 4: 478, 3: 63, 'Unaware of this Feature': 22, 1: 10, 2: 9}"
48,,Chat,False,"{3: 311, 'Unaware of this Feature': 258, 4: 245, 5: 219, 2: 167, 1: 71}"
49,,Ed discussion,False,"{5: 493, 4: 413, 3: 172, 'Unaware of this Feature': 102, 2: 62, 1: 29}"
50,,Collaborations,False,"{4: 317, 'Unaware of this Feature': 280, 3: 265, 5: 244, 2: 118, 1: 47}"
51,,Mobile access (Canvas app),False,"{5: 558, 4: 393, 3: 133, 'Unaware of this Feature': 104, 2: 51, 1: 32}"
52,,Video Library,False,"{5: 692, 4: 396, 3: 79, 'Unaware of this Feature': 60, 2: 30, 1: 14}"
