,index,Open-Ended Response
0,6,Email notifications are usually a bit late but overall it's still good
1,17,please provide a way to contact people from my class
2,26,"2 out of 8 of my classes used any collaboration with students, TAs, and Professors in forum format (e.g., ask a question receive an answer)"
3,43,"On my phone, I always get the same annoucement 2 times on canvas and one time from email. And when prof adding annotations on submitted assignments, we will get annoucements contimuously."
4,45,The inbox is great. 
5,47,You may add the features like gradescope.
6,62,The announcement section on the web does not always work.
7,70,Why Echo 360 so hard to use?
8,72,"Make it more uniform for all courses. Some professors use canvas, some don't and ask us to refer to their personal website. "
9,78,It would be good to have some more features integrated with it. 
10,88,"Really hard to track previous semester courses. For example, I have no idea which PDL from which semester is my active one - some electives go up in an old one."
11,90,"The naming format is not consistent, as some professors list by course code (COMS 4732) while others list by course name (Computer Vision). I would prefer if all are listed by name. Also, while I appreciate having access to previous courses, it should be in a different section and I have too many courses listed currently. "
12,93,Gradescope is wonderful and Canvas-integrated. It's use should be encouraged in all classes.
13,152,Instructors don't really know how to take full advantage of Canvas. Perhaps more dedicated staff for Canvas support would be helpful with setting up each course.
14,157,"As a TA, I find courseworks limited when I try to upload individualized comment files for each student (generated by a grading script). I either have to upload each file individually or type the comments manually, neither of which is convenient. "
15,161,It’s better if there shown time and location of each course in canvas
16,211,Hoping if the videos can be downloaded so I can watch while offline as well. And I hope all video qualities are good. Like my classroom for blockchain this semester was so nice and the quality of the video and sound was good. Meanwhile the video quality for ELEN E6945 is so bad and one of the video got muted too. Hope this can improve! Thank you! 
17,226,It's better to close function such as big blue button by default so it won't show up even though it is never opened for use
18,232,it's better to involve more interactions between students and TAs
19,249,Some courses have poor Canvas layout
20,254,the duo authentication needs to be open at least for few hours
21,358,"It is a hassle to keep switching in grade scope, canvas etc"
22,373,you can see assignment statistics on mobile but not on desktop for some reason
23,377,I <3 Canvas.
24,388,DUO is very hard to use with a lot of login errors and compatibility issues
25,390,Mobile app needs to be better
26,410,provide subtitle
27,411,"When updating submissions, do not overwrite previous submissions"
28,425,Stop using DUO
29,436,There is some ambiguity as to whether announcements go in Ed or on Courseworks.
30,438,"- There are issues with multiple (duplicate) notifications on canvas    - You cannot check the notifications on desktop website    - As a Course Assistant, I am unable to guide through a mobile app or the website if there is a comment made on a submission, however, while using the same application on an iPad it works just fine    - Collaboration and making groups is very confusing, and a lot of my classmates find trouble understanding it    - Chat window is an amazing feature, however, again due to notifications and navigating through the application is very difficult    - The pressing issue if notifications, I get almost 10 notifications for the same thing, which is very irritating"
31,465,good app
32,499,Overall I like Canvas. I find it easy to use and I have never had difficulty finding my course material or submitting assignments on it.
33,503,Hope all courses have video library to review the class
34,509,Very good
35,510,It is very easy to use and manage all the coursework content in one place.
36,520,Free courses online such a MOOCS have better tech
37,521,"Popularize the use of the ""Rubrics"" feature of Canvas among graders/TAs, which allows for easier grading and detailed student feedback. Or alternatively, the use of ""Gradescope"" integration."
38,546,"Having to enter 2FA every 48 hours is too excessive.  It is ironic that SSOL, which contains personally identifiable information, does not even require 2FA, meanwhile Canvas does."
39,571,"The Canvas app is extremely helpful to easily check on classes, assignments, and announcements"
40,598,Deadline management
41,601,Having a mobile app is super convenient. I don’t understand why we need gradescope too
42,631,Very positive experience
43,685,Canvas is only manageable if the instructors put effort in setting it up
44,744,Good utility but interface can be improved
45,754,no
46,756,Canvas is a great tool. I Wish more professors used the calendar function of it to show assignments and exams however.
47,758,No comments in particular regarding Canvas. 
48,769,"Once the announcement or notifications have been seen, they disappear, but it'd be great if they remained in the notification tab so that I could access the past announcements later in time."
49,770,Canvas is super easy and handy with everything regarding the course all at one place
50,771,Canvas is really helpful
51,788,No additional comments
52,790,Multiple file submission would make student's life easier.
53,814,Have all professors use Ed. it is much more modern and if everything is in one place its easier to track
54,825,not enough meeting room
55,842,"The mobile website doesn't show features like 'Groups', and one has to login to laptop to access that info. "
