,Open-Ended Response.9
17,"i use the library at ALL TIMES OF THE DAY. please make it open as late as possible, thanks. also there need to be a microwave in the library, its late at night and we are hungry, the food spots are closed. also, theres not enough study rooms for groups. i cant study anywhere with my friends. "
20,More grip working spaces please
26,I've arrived on campus before 8 am and was surprised no libraries were 24/7
41,There are limited places for group collaborations
43,I think they are good enough
44,more meeting rooms and collaborative spaces are required
53,The cafe prices are ridiculously high. 8$ for a non dairy coffee. The cafe in the library should be cheaper than competitors like Starbucks or pret. Coffee on campus should be subsidized 
62,"The library is great; however, there are times when there isn't enough space."
65,"There even doesn't has an instruction to tell students where is the library and what's in the library that we can use. Of course we can google, but it's still nice to have some instructions on website or townhall events since it's very effective. "
70,"No library guidance before the term. (like the use of VPN, searching, etc. As far as I know, a lot of students don't even know the electronic library)"
71,"Longer library hours, free coffee and more discussion spaces must be encouraged. "
74,The outlets of S&E library are badly designed. I cannot plug the charger of my laptop in it.
77,Can you build more power outlets on the first floor? And can you improve the power outlets on the second floor? Current ones are difficult to plug in for some adapters
78,It would be good if the hours of operation could be increased for some of the libraries other than Butler.
90,It is disappointing that many of the libraries on campus do not have a color printer. The printers are also very limited in paper size and does not-offer a3 sizes
92,I think it might be better for Engineering Library to extend some hours at late night
93,"Online access to scientific journals is difficult to find and use. Switching to something accessible from the website of the journal itself rather than through the CU library website, or at least making the access easy to find, would be most helpful. "
95,I think it is bullshit that stem students don't have access to all libraries. We are all paying the same amount of tuition for different access to resources. LET STEM STUDENTS INTO ALL LIBRARIES. 
152,Libraries should be 24/7
164,"I find library access extremely useful. Because I have an office in NWC, I don't frequently visit the library to use it as a study space. "
183,"I’ve been here 4 years and I am still unaware of the available study spaces or libraries, there should be information on best spots to study sit or have coffee , or an easier way to see when cafes are open. Nothing on campus seems easy to find or accessible."
220,Keep libraries open 24/7 or at least very late at night
229,More white boards available for thinking 
232,maybe have more quite rooms for study
256,"There aren’t a lot of spots. Printers are hard if not impossible to print in color, which is sometimes important in engineering"
272,There are not enough seats on Mudd 4th floor sometimes.
301,"The book ""Ace the Data Science Interview"" code be a good addition to your collection. 5 or 10 copies could be useful to serve every dpt that forms data scientists"
346,-
358,need to be able to book more seats in libraries
371,"More study rooms, please! I always just go to Uris."
377,Open Mudd LATERRR!!!!
381,"I used library resources much more extensively during my Master's program, when I did not have a desk of my own. I found them excellent, but crowded (it is always hard to find a desk in popular spots like Butler or NWC)."
383,More space for collaboration. Often times the collaboration space is filled and it is insufficient for the number of students 
388,an upgrade on vending machines or coffee machines could be nice
390,"I work, so these would be best used in the evening"
391,"Columbia e-resource is kind of poor. For many times I am not able to obtain the books (usually in mathematics) online through our library, while my friends at her university (CMU) can. So I have to find other sources."
403,Need a larger printer quota
