,index,Open-Ended Response.1
0,6,It would be nice to not have strict registration windows.
1,17,why are there two websites? remove virgil and just make SSOL the only website tat has to do with finding classes for registration. its too much work. 
2,26,Neither agree nor disagree is I have not used it.  Course registration the first time around was confusing.  Maybe I missed a video that exists but it would have been helpful before time to have a screen by screen view of registering. I added a class to my wish list first time around but didn't realize that wasn't registering for a course.
3,39,Cannot submit the graduation application form directly on SSOL.
4,43,"The time to get paper edition transcript takes too long, and for international students, if we will go back to our homeland and also want a complete transcript after graduation, it would be low success with delivery to other countries."
5,47,The feature of Keyword Search should be more powerful.
6,65,It's so wired you don't have any instructions for new students  to show how to register courses at SSOL. The whole page would be shown until it's the time to register. It's super un user-friendly. 
7,72,If there was a way to know the waitlist to final procedure more transparently that would be great.
8,78,It would be good to have course descriptions and some more material added to the Vergil to help us make an informed choice while selecting courses. That's a little inadequate right now.
9,92,SSOL cannot tell the position of the waitlist sometimes and shows 'Instructor Managed'. This is VERY unhelpful because it offers no clue the chance student might get into the class and waste the waitlist position.
10,93,"Why is SSOL not protected with two factor authentication? I must go through the whole rigamaroll to look at library books online, but not to access financial or personal details."
11,111,IT'S SUCH AN UGLY WEBSITE!!! This is not the 2000s anymore we have JavaScript now
12,113,add a feature to add schedule to calendar
13,128,should be more user friendly
14,132,I found that the shopping period was virtually useless because by that time all the courses I wanted to switch to had a long waitlist and I couldn't get in. 
15,136,Haven't used many of these features yet
16,207,It would be nice if classes were shown in a calendar format in ssol as well
17,220,Registration could severely be improved with respect to more senior students gaining priority registration and incorporating such changes that enable a seamless registration process.
18,226,The degree audit is always returning error for me
19,232,it's better to integrate Vergil and ssol into one platform
20,234,"it might be helpful to more frequently inform me about the billing DDLs via Email, SMS, etc."
21,249,Students should be able to export their course schedules to Google Calendar
22,254,Why doesn't ssol have duo authentication ????
23,258,"Course registration should take lottery, not FCFS"
24,301,#NAME?
25,357,Transcript
26,359,Satisfied
27,377,SSOL is outdated.
28,388,Registration for the desired and required courses is frustrating. Many of the international students need to mentally prepare for deportation during the pandemic. 
29,391,Registration time is not continuous but can only be done on some certain weekday daytime. Why students cannot register at any time during the registration period?
30,392,The waitlist is so strange. I was on the 1st position waitlist for one class and there are many people dropping the course. But finally I didn't get in the class.
31,410,I think the course registration could provide a Reference for students in the same department to select courses  
32,411,pretty nice
33,416,I live in Columbia housing and paying rent is a nightmare. The EBill both charges and credits me for my stipend pay and it is mixed with the charges for my rent. There are three different locations where I can see what I owe and all of them are different numbers. I am a fully funded PhD student who does not pay for classes so my rent payments should be separate and organized from how they currently mixed with my course payments and their book keeping.
34,419,Course registration can be greatly improved
35,420,"Too many systems to register for courses (SSOL, Vergil, Columbia directory of classes) "
36,425,Stop using DUO
37,454,I don't know of any way to get a quick unencrypted unofficial transcript. 
38,457,"The user interface is terrible and seems like a website from the 90’s. Furthermore, there seems to be a lack of coordination between different departments of Columbia. For example, course information (schedule, descriptions, exams) seems to be inaccurate on SSOL for a variety of Business School courses. Overall, very disappointed. "
39,465,good app
40,479,"I think the SSOL design can definitely use an update. The user-interface is extremely bad, making the experience unncessarily taxing and laborious. Hire some UI/UX designers please!! "
41,503,The course registration should be more fair
42,524,Doesn't show the ranking in waitlist
43,546,Billing is confusing to understand.
44,572,Course registration was not a very smooth process.
